Width (mm),Depth (mm),Test Length (mm),Bottom Cover to Ctr of Tension Bar (mm),# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)","fy Longitudinal Bars (Tensile), (MPa) ",f'c (MPa),W/C Ratio,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Mass Loss (Tensile bars), ηm (%)","Shear Span, x (mm)",Longitudinal Bar Type,Test Type and Configuration,Corrosion Method,eta_log,corr_severity_idx,d_b_ratio,eta_d_interaction,reinf_index
-2.9433224922759367,-4.875532334755321,-1.0922674068738172,0.0,0.0,-2.8254727137872075,0.0,0.9075493584245665,0.0,0.0,-1.0174046863227448,-0.688099646561354,0.0,0.0,-0.49311039660785205,0.0,0.0,1.1472460373790896,1.1324401241591213,0.0,0.0,0.0,0.0
9.404758047728551,27.41538313015382,4.632463385532622,0.0,1.126929706868178,0.0,0.595220189915743,0.9220584937565706,0.0,0.0,1.8209625617208653,6.836190708977553,3.9794154032070588,0.0,3.791844403048118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.0956036125348696,-5.016859463764698,-0.6943164906716197,-0.7205780060447863,0.0,-3.333200367054154,-0.5276050376110685,0.0,0.0,0.0,0.0,-0.7208452373287788,0.0,-0.6465205480595425,0.0,0.0,0.0,0.0,-0.7698723026213133,0.0,0.0,0.0,-0.4584723927119789
-2.758948226191248,-4.715391963232368,-0.8083838117446023,0.0,0.0,-2.9022739752232667,0.0,-0.49299689916392386,0.0,0.0,-1.1941528882164727,-0.5677511833460549,-0.31879851654045055,0.0,-0.6077303639151279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3454974101815091
-3.9904113121116245,-4.745748973106668,0.0,0.0,0.0,-1.126352379176672,0.0,-0.8167467831296689,-2.22096970454776,0.0,1.0848542977101523,1.0375304919232797,0.0,0.5153932111939206,1.295027708371669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8203006848370624
-3.215595005410719,-5.210574926879619,-1.072020345861644,-0.5507657769876779,0.0,-3.014538109046972,0.0,0.0,0.0,0.0,-1.619825657981074,-1.038963051320782,0.0,0.0,-0.8700742988343846,0.0,0.0,0.0,-0.9709550207754786,0.0,0.0,0.0,-0.655030947611763
0.0,-5.73041829003309,-1.352132386031397,-0.2509393798274731,0.0,-3.2407209208300145,0.0,0.0,-1.249193709422165,-0.47392030257518636,0.0,-0.6037345799435393,-0.33397299526744284,0.0,-0.8512974329171017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.155138402175942
0.0,-4.383927699441519,0.0,0.0,-1.0026086043295042,0.0,-0.9750485038997244,1.5157990446236558,0.7382024593552053,0.0,-1.8016728381662126,-1.0528152841750116,-0.22009930991287074,0.0,0.8841481583925811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8852306338651387
-3.4542714652505575,-5.320077159949354,-1.4109996366365871,0.0,0.0,-3.231578142684378,0.819129795905076,0.0,0.0,0.0,-1.4257860462552137,-0.9328577376465422,0.0,0.0,-1.1190137902988053,0.0,0.0,0.0,0.808365000918478,0.0,0.0,0.0,1.8740874820190274
-1.0472415973489788,5.247804207739241,2.996390915197264,0.0,0.0,2.9608207565446536,0.0,0.8667549421519539,0.5704656188350172,0.0,1.8738170806730932,1.708117967756053,0.0,0.0,1.9413747860182784,0.2655915971928253,0.0,0.0,0.0,0.0,0.0,0.0,0.0
