Pi_M,Pi_omega,Pi_geom,Pi_bar,Pi_eta,Pi_rho,Pi_M_aci,Pi_R
0.052222222222222225,0.0565875,1.0,0.08,0.0,0.00503,0.054667637278761595,0.9552675919745773
0.052444444444444446,0.0565875,1.0,0.08,0.0,0.00503,0.054667637278761595,0.9593325604510649
0.052222222222222225,0.0565875,1.0,0.08,0.0,0.00503,0.054667637278761595,0.9552675919745773
0.052592592592592594,0.055841802499999996,1.0,0.08,0.0072,0.00503,0.05322321144921398,0.9881514316883504
0.052,0.0550344875,1.0,0.08,0.015,0.00503,0.05168436801178162,1.0061069139540688
0.05125925925925926,0.05477544249999999,1.0,0.08,0.0175,0.00503,0.051196475888466535,1.001226322118919
0.05148148148148148,0.05466101,1.0,0.08,0.018600000000000002,0.00503,0.050982253423602554,1.0097921928583842
0.050666666666666665,0.054557895,1.0,0.08,0.0196,0.00503,0.05078878650577028,0.99759553540249
0.04888888888888889,0.053739262499999996,1.0,0.08,0.0275,0.00503,0.049271978020799925,0.9922250100909422
0.046814814814814816,0.052704339999999995,1.0,0.08,0.0375,0.00503,0.04739172926599335,0.9878266849487488
0.04725925925925926,0.0525597275,1.0,0.08,0.038900000000000004,0.00503,0.04713216278849215,1.002696597466521
0.04688888888888889,0.05234218,1.0,0.08,0.040999999999999995,0.00503,0.046743840235366964,1.003103053852477
0.050333333333333334,0.06026,1.3333333333333333,0.05,0.0,0.00524,0.058081089288503605,0.8666044998452906
0.052333333333333336,0.06026,1.3333333333333333,0.05,0.0,0.00524,0.058081089288503605,0.901039115733183
0.049509803921568625,0.05838901176470588,1.3333333333333333,0.05,0.1864,0.00524,0.03774332955181427,1.3117497716676338
0.051470588235294115,0.06074084705882353,1.3333333333333333,0.05,0.17190000000000003,0.00524,0.040602108355823834,1.2676826480098624
0.056862745098039215,0.06610568235294118,1.3333333333333333,0.05,0.1388,0.00524,0.04757893895489505,1.1951242786634069
0.04215686274509804,0.045831505882352935,1.3333333333333333,0.05,0.2638,0.00524,0.024458810416503423,1.723585980970398
0.12534722222222222,0.1837875,1.3333333333333333,0.06,0.0,0.01508,0.16391478572816284,0.7647096731718804
0.1329861111111111,0.1837875,1.3333333333333333,0.06,0.0,0.01508,0.16391478572816284,0.8113124787391419
0.1380952380952381,0.20416165714285717,1.3333333333333333,0.06,0.1038,0.01508,0.14815748575537457,0.9320841089545052
0.12959183673469388,0.18003673469387754,1.3333333333333333,0.06,0.0,0.01508,0.16096678820864946,0.8050843169381839
0.13197278911564625,0.18003673469387754,1.3333333333333333,0.06,0.0,0.01508,0.16096678820864946,0.8198758923150009
0.12702702702702703,0.1958851243243243,1.3333333333333333,0.06,0.0975,0.01508,0.1445724322406293,0.8786393440182335
0.12837837837837837,0.17140661621621622,1.3333333333333333,0.06,0.1536,0.01508,0.11392231964690473,1.1268939991415143
0.12387387387387387,0.17948052972972975,1.3333333333333333,0.06,0.1351,0.01508,0.12365460490631962,1.0017732373793953
0.06857142857142856,0.06965,1.25,0.052,0.0,0.00796,0.0668280268373493,1.0260878828327893
0.06528571428571428,0.06480698979591835,1.25,0.052,0.038,0.00796,0.0578869129345171,1.1278147507981098
0.060469387755102036,0.05958019387755102,1.25,0.052,0.079,0.00796,0.049059447943597165,1.2325737506182843
0.051734693877551016,0.037401846938775504,1.25,0.052,0.253,0.00796,0.020624413326550493,2.5084201455054833
0.11133333333333334,0.13611,1.5,0.06666666666666667,0.0,0.01047,0.12523396176154397,0.8890027255172315
0.11133333333333334,0.13611,1.5,0.06666666666666667,0.0,0.01047,0.12523396176154397,0.8890027255172315
0.10522222222222222,0.13611,1.5,0.06666666666666667,0.0,0.01047,0.12523396176154397,0.8402051707233714
0.10522222222222222,0.13611,1.5,0.06666666666666667,0.0,0.01047,0.12523396176154397,0.8402051707233714
0.10522222222222222,0.13611,1.5,0.06666666666666667,0.0,0.01047,0.12523396176154397,0.8402051707233714
0.07733333333333334,0.0871,1.5,0.05333333333333334,0.0,0.0067,0.08266149179096889,0.9355424352719258
0.07733333333333334,0.0871,1.5,0.05333333333333334,0.0,0.0067,0.08266149179096889,0.9355424352719258
0.10488888888888889,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.9158813447499459
0.10488888888888889,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.9158813447499459
0.10133333333333333,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.9716343835029555
0.10133333333333333,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.9716343835029555
0.09277777777777778,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.9812205319032729
0.09277777777777778,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.9812205319032729
0.07266666666666667,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.8517333530759259
0.07266666666666667,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.8517333530759259
0.09277777777777778,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8101280962565728
0.09277777777777778,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8101280962565728
0.07544444444444444,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7233988447352048
0.07544444444444444,0.12365593500000001,1.5,0.06666666666666667,0.05,0.01047,0.10429162970540873,0.7233988447352048
0.05288888888888889,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.5593544589053387
0.05288888888888889,0.1174289025,1.5,0.06666666666666667,0.075,0.01047,0.09455344110851083,0.5593544589053387
0.02688888888888889,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.315167387529624
0.02688888888888889,0.11120187,1.5,0.06666666666666667,0.1,0.01047,0.08531621593100741,0.315167387529624
0.09944444444444445,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.829948692088366
0.09944444444444445,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.829948692088366
0.09944444444444445,0.1329977925,1.5,0.06666666666666667,0.0125,0.01047,0.1198199905517249,0.829948692088366
0.0921111111111111,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8043068165229926
0.0921111111111111,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8043068165229926
0.0921111111111111,0.1298829675,1.5,0.06666666666666667,0.025,0.01047,0.1145223554231533,0.8043068165229926
