Width (mm),Depth (mm),Test Length (mm),Bottom Cover to Ctr of Tension Bar (mm),# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)","fy Longitudinal Bars (Tensile), (MPa) ",f'c (MPa),W/C Ratio,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Mass Loss (Tensile bars), ηm (%)","Shear Span, x (mm)",Longitudinal Bar Type,Test Type and Configuration,Corrosion Method,eta_log,corr_severity_idx,d_b_ratio,eta_d_interaction,reinf_index
-0.17250548985784575,-0.3311235631823084,0.0,0.0,0.0,-0.08813045329245847,0.06298900951397969,0.06967692994801807,0.0,0.0,0.0,-0.053118297404069814,0.053834642301060005,0.03125418412322081,0.0,0.0,0.0,0.0,0.0,0.06011420510470236,0.0,0.0,0.062442681570354264
0.3163539629948358,0.8822401576613174,0.05198052436495439,0.0,0.19238081399765297,0.0,0.0,0.0,0.012578740357565569,0.0062182801508263285,0.03950518622133043,0.13164127009665,0.0,0.0,0.0754069886531026,0.00536324987000425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.20332733027331967,-0.36606557227614667,0.0,0.0,0.0,-0.18742812916169568,-0.10558884461260563,0.0,0.0,0.0,0.0,-0.059740834543070415,0.0,-0.06370619032447379,0.0,0.0,0.0,0.0,-0.035797250476030384,-0.05967066759848746,0.0,-0.03206673912979574,-0.07942577436448212
-0.17163708475058428,-0.3180371454705239,0.0,0.0,0.0,-0.08130349215767381,0.06679761115929418,0.027237454727297217,0.0,0.0,-0.07254527342191507,-0.08434663846082417,0.0,0.043058879517360246,0.0,0.0,0.0,0.0,0.0,0.08481015573512234,0.0,0.03614236690946991,0.0
-0.1999953034546287,0.10505235263446691,0.0,0.0,0.0,0.0,0.046247453465774635,0.0,-0.17079518591771053,-0.0605165973091334,0.04355128901596717,0.12856938196158252,0.0,0.038301610247045294,0.0,0.0,0.0,0.0,0.022791019613409614,0.0,0.0,0.0,0.02598487826225726
-0.21256288610173846,-0.36765850649748916,0.0,0.0,0.0,-0.10860327122602406,0.0,-0.060504804044329674,0.0,0.0,-0.15000687949555552,-0.1238622690208684,0.0,-0.06483752666721787,-0.08677434684016821,0.0,0.0,0.0,0.0,-0.1408694098349818,0.0,-0.05474583711983183,0.0
0.0930778079073399,-0.3513500030215326,0.0,0.0,0.0,-0.03518943902603907,0.0,0.0,-0.120506713211243,0.0,0.04351086208326471,-0.060681541936110285,0.0,0.02830942800352748,-0.04453417925136976,0.0,0.0,0.0,0.0,0.05172632005314977,0.0,0.0,0.032338479198153476
0.12650190516145507,0.10856467496663738,0.0,0.0,-0.11788851213943159,0.0,-0.11516944625973796,0.07257427534336151,0.07081010964572773,0.0,-0.10423087692626934,-0.1047235928783114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03783296926182443,0.0,0.0,-0.052503427295745704
-0.17866136683362055,-0.33541918380791574,0.0,0.0,0.0,-0.030165971171693295,0.09666027025438878,0.0,0.0,0.0,-0.06508066427544675,-0.05770614517316497,0.0,0.030843882025106018,-0.062146648560532126,0.0,0.0,0.0,0.0,0.06174436174778277,0.0,0.0,0.07018108297210977
0.14450653361814828,0.4102385835246328,0.05263496603508304,0.0,0.0,0.0742827552824085,-0.06613839632958822,0.0,0.0,0.0,0.03658955999222064,0.13675053154584185,0.0,0.0,0.08061495651898754,0.0,0.0,0.0,0.0,-0.04692983188443158,0.0,0.0,-0.03884824499245354
0.12635307525031686,0.13439386740618334,0.0,0.0,0.0,0.0,0.033346901290466226,0.0,0.19754133431497203,0.0,0.06629458707549447,0.14855767366866685,0.0,-0.10212099864574006,0.0,0.0,0.0,0.0,-0.06017814579890117,-0.05400412930814494,0.0,0.0173670830314806,0.0
0.17947967516715366,0.4481266463520331,0.0,0.0,0.0,0.11484880279128014,0.0,0.03760440652006082,0.0,0.008769694784880766,0.0,0.12254227375644897,0.0,0.02445390308284115,0.0,0.0,0.0,0.0,0.0,0.031483880598801174,0.0,0.016775269901370172,0.02855701122516015
-0.19145068041072938,0.12794007646419378,0.0,0.0,0.0,0.0,0.0,-0.11222346493868028,-0.16286366636187607,-0.04172020899289154,0.06062863704135424,0.1468086400227598,0.0,-0.10151939292046121,0.0,0.0,0.0,0.0,-0.07506045061339775,-0.15622307613656672,0.0,0.0,0.0
-0.20219344774981554,-0.3590433672037122,0.0,-0.018008417329459236,0.0,-0.15083970327314458,-0.1078815621263939,0.0,0.0,0.0,-0.0737958090715509,-0.06883183488523478,0.0,0.0,-0.07112571862327682,0.0,0.0,0.0,0.0,-0.031420327076101734,0.0,0.0,-0.054058138687337394
0.13240178811298645,0.13015874700256969,0.0,0.0,0.0,0.0,0.0,-0.06169204933363679,-0.13273753753019985,0.0,0.05749593776026041,-0.052983003657540155,0.0,-0.10219776569140142,0.07087480512967563,0.0,0.0,0.0,-0.07865533554526395,-0.11284657314728541,0.0,0.0,0.0
-0.16604591456629533,-0.3109507366798165,0.0,0.0,0.0,-0.07630867057409775,0.07002864308424916,0.05077263370565259,0.0,0.0,-0.06928524690180894,-0.07894550904876617,0.0,0.05061833349725084,0.0,0.0,0.0,0.0,0.0,0.0910167516365108,0.0,0.04472703827388047,0.0
-0.24990107910302797,-0.47038982981755284,0.0,0.0,-0.12996633901466434,-0.1220138137740427,0.0,-0.14241636693141632,0.0,0.0,-0.14194859979560018,0.0,0.0,-0.16218362581330129,-0.11467146835358544,0.0,0.0,0.0,-0.14123650571974636,-0.1855838641073451,0.0,0.0,0.0
-0.19506870256057032,0.13660835422059436,0.0,0.0,0.0,0.0,0.1082327409276629,-0.10344475136045934,0.0,0.0,0.07216351348274186,-0.04992451975955269,0.0,-0.10884534566124408,0.0,0.0,0.0,0.0,-0.08303573029136171,-0.06838409870066522,0.0,0.0,-0.03929499179112253
0.1256486697894472,-0.34376731794408566,0.0,0.0,0.0,-0.024813356015493948,0.0,0.0,0.07219843904908456,0.0,0.054279894786003945,-0.059354623326967705,0.0,-0.04634066797607848,0.0,0.0,0.03910566140854652,0.0,0.0,-0.054872247216972134,0.0,-0.020668181695063594,0.0
-0.17477733039681095,-0.3347522892539018,0.0,0.0,0.0,-0.13549127523092916,-0.1155219866847552,0.07739212108087265,0.0,-0.0148790476648758,-0.07247106168587374,-0.07885702121474303,0.0,0.0,-0.04257107733955149,0.0,0.0,0.0,0.0,0.07838820974919326,0.0,0.0,0.0
-0.1642558542915782,-0.31052516119742185,0.0,0.0,0.0,-0.07548910062383817,0.07424897899458265,0.054723762492233784,0.0,0.0,-0.06721215696543877,-0.07919738513695274,0.0,0.05376328285307846,0.0,0.0,0.0,0.0,0.0,0.0899282341613368,0.0,0.046934454810078796,0.0
-0.20113856349541706,-0.35391515309221594,0.0,0.0,0.0,-0.09234134618792103,0.0,0.0,0.0,0.0,-0.08091281349627134,-0.06702163750194266,0.0,-0.07288240191914312,-0.07570321746136156,0.0,0.0,0.0,-0.04315085238171297,-0.0976518877034,0.0,-0.036517944712468386,0.0
