Width (mm),Depth (mm),Test Length (mm),Bottom Cover to Ctr of Tension Bar (mm),# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)","fy Longitudinal Bars (Tensile), (MPa) ",f'c (MPa),W/C Ratio,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Mass Loss (Tensile bars), ηm (%)","Shear Span, x (mm)",Longitudinal Bar Type,Test Type and Configuration,Corrosion Method,eta_log,corr_severity_idx,d_b_ratio,eta_d_interaction,reinf_index
-0.15023413668154195,-0.3241501789850539,0.0,0.0,0.0,-0.1181330900872689,0.06761123228052628,0.06393265537659909,0.0,0.0,0.0,-0.05424817907825797,0.05333532947939848,0.03127273695864641,0.0,0.0,0.0,0.0,0.0,0.07480646860116592,0.0,0.0,0.05347200517219217
0.29439554474337404,0.8189967078230033,0.06344292383453849,0.0,0.1908924361029396,0.0,0.0,0.0,0.02254337225975679,0.026215239802630224,0.050882887683911394,0.13884246343600765,0.019048926094846985,0.0,0.08212246598222687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.18610701694661408,-0.36044469640010923,0.0,0.0,0.0,-0.2524666030083159,-0.08700439089051405,0.0,0.0,0.0,0.0,-0.053179864942180174,0.0,-0.0541692311660289,0.0,0.0,0.0,0.0,-0.051572195943935625,-0.057732462639997525,0.0,-0.03309028295552263,-0.06798317894597368
-0.14758678813634396,-0.3119756051486235,0.0,0.0,0.0,-0.11383195537088545,0.058425441834925464,0.0,0.0,0.0,-0.07525405590660465,-0.06800509785610927,0.0,0.04637632822670832,0.0,0.0,0.0,0.0,0.023976812408980863,0.08752834729060296,0.0,0.029644170881088255,0.0
-0.17525845561355927,0.09343721921583768,0.0,0.0,0.0,0.0,0.04088806881108497,0.0,-0.15468558917164055,-0.0564932212325663,0.04148945549637403,0.11543599772346264,0.0,0.04657120079686799,0.0,0.0,0.0,0.0,0.03756990057897077,0.0,0.0,0.0,0.02261484029138265
-0.19203356806947264,-0.3600924346647476,0.0,0.0,0.0,-0.1486170202741188,0.0,-0.05960845900076572,0.0,0.0,-0.15848061366814226,-0.10696869506558176,0.0,-0.06842267549361322,-0.08107794202098505,0.0,0.0,0.0,0.0,-0.13788787111146777,0.0,-0.06331001247576573,0.0
0.08859163258199192,-0.34495475409587895,0.0,0.0,0.0,-0.022488428303850755,0.0,0.0,-0.10755550148940142,-0.02620508746632133,0.040876876639417234,-0.058718650981382604,0.0,0.0,-0.025837897184275115,0.0,0.0,0.0,0.0,0.05978351657316456,0.0,0.0,0.03273850521317164
0.1057378630693926,0.10252809465793138,0.0,0.0,-0.14612846602482316,0.0,-0.0850554819287786,0.050251330773022455,0.06825738588533987,0.0,-0.10805226702054663,-0.0862767519322114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03399676669989565,0.0,0.0,-0.03912776495422322
-0.15543182006584103,-0.3323615085622258,0.0,-0.03407824004782911,0.0,0.0,0.07184599919493993,0.0,0.0,0.0,-0.044906512869779654,-0.05812901478327813,0.0,0.032385342662298644,-0.06707656498148037,0.0,0.0,0.0,0.0,0.06378817762777379,0.0,0.0,0.05905648282066274
0.11469649315883454,0.41580457511859165,0.08078903061701735,0.0,0.0,0.10058922497859656,-0.06659972239733801,0.0,0.0,-0.04081780128780921,0.03396120899746393,0.12289779513049633,0.0,0.0,0.06440018079577065,0.0,0.0,0.0,0.0,-0.04398791911867128,0.0,0.0,0.0
0.11502143091126198,0.13680733980128235,0.0,0.0,0.0,0.011327783676681191,0.02480711073913898,0.0,0.2052480565268162,0.0,0.06810724105642758,0.15396597550372104,0.0,-0.08754702423792021,0.0,0.0,0.0,0.0,-0.05326880235135615,-0.04982643384633388,0.0,0.0,0.0
0.15927306406146638,0.41923960221114887,0.0,0.0,0.0,0.18426388134882057,0.0,0.026714738834299548,0.0,0.013603786311722503,0.0,0.11438487876853759,0.0,0.025250898013261032,0.0,0.0,0.0,0.0,0.0,0.04476256862657919,0.0,0.010381279916978237,0.02650627464067029
-0.17196020005336907,0.12085054488261922,0.0,0.0,0.0,0.0,0.0,-0.12060635422478772,-0.1510401080306286,-0.03418057021192738,0.05959814716964995,0.1347287431304819,0.0,-0.09554801223465913,0.0,0.0,0.0,0.0,-0.06311240716909915,-0.19564087131012842,0.0,0.0,0.0
-0.17852807853308789,-0.35222572348983766,-0.030391726416588712,-0.0278123441812399,0.0,-0.22094340882270763,-0.09659904359972038,0.0,0.0,0.0,-0.05537498960392682,-0.061304553318166324,0.0,0.0,-0.07168235571356331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.044600771787415845
0.10866598679093574,0.12770784608444935,0.06380396054368906,0.0,0.0,0.0,0.0,-0.054606524118878515,-0.14352229655148682,0.0,0.05435701958808936,-0.05299441268912334,0.0,-0.10155364239940275,0.0,0.0,0.0,0.0,-0.06914071228692582,-0.12956063458371506,0.0,0.0,0.0
-0.14460362856228523,-0.3038219243615701,0.0,0.0,0.0,-0.10660786306066389,0.06507655930839645,0.03919589160882091,0.0,0.0,-0.06374106747298006,-0.0631911518957903,0.0,0.05002069228553498,0.0,0.0,0.0,0.0,0.0,0.09382425485937888,0.0,0.04796901279067872,0.0
-0.23978583788171368,-0.437448979821042,0.0,0.0,-0.15379913635188666,-0.15740940817301755,0.0,-0.13533082286915146,0.0,0.0,-0.13829292684347075,0.0,0.0,-0.16538753019808866,-0.11143447959944663,0.0,0.0,0.0,-0.12321766524103717,-0.22603097822402063,0.0,0.0,0.0
-0.17570564208945127,0.1443915200916689,0.0,0.0,0.0,0.0,0.07377194790513109,-0.09303022513289702,0.0,0.0,0.06753789277943982,-0.042203408005723815,0.0,-0.12222148351997673,0.0,0.0,0.0,0.0,-0.08260984475224448,-0.0737892422591546,0.0,0.0,-0.03397170665682892
0.11570849288440947,-0.3356520811474532,0.0,-0.02029265556672727,0.0,0.0,0.0,0.0,0.059671215971324604,0.0,0.05759045463487958,-0.0584101240313128,0.0,-0.038720246259080916,0.0,0.0,0.05434843741014652,0.0,0.0,-0.05514326908674967,0.0,-0.027453149874929153,0.0
-0.15279446066230362,-0.3193679255126779,0.0,0.0,0.0,-0.19549068459591049,-0.09543026827864556,0.05887630703848128,0.0,-0.013391108148332664,-0.07446700772515809,-0.061601591120862394,0.0,0.0,-0.03407159896635253,0.0,0.0,0.0,0.0,0.07970356075219931,0.0,0.0,0.0
-0.14303770685094588,-0.30569190724980716,0.0,0.0,0.0,-0.10768664671281446,0.0698964683765678,0.04444226665470269,0.0,0.0,-0.06166586651664778,-0.062346610435253386,0.0,0.05249859950712638,0.0,0.0,0.0,0.0,0.0,0.09281957679332348,0.0,0.05031667649161477,0.0
-0.17833503799140094,-0.3500761632993468,0.0,0.0,0.0,-0.12989761451188783,0.0,0.0,0.0,0.0,-0.04743925670914885,-0.06039406254408833,0.0,-0.06276984161618758,-0.08031597796785583,0.0,0.0,0.0,-0.039644680159471174,-0.10217732408071542,0.0,-0.0391559851335781,0.0
-0.15131630455854328,-0.328003759677729,0.0,0.0,0.0,-0.11327323455756036,0.062443886783448775,0.0,0.0,0.03312960963985867,0.03499935123017218,-0.0530754199068089,0.0,0.03753189378157963,-0.0544084080370803,0.0,0.0,0.0,0.0,0.07909226853259108,0.0,0.0,0.0
0.08622029406107866,-0.3300384685281117,0.0,0.0,-0.13496885687584018,-0.01884847303501138,-0.09076360298893943,0.0,0.0,0.0,-0.08117785398630666,-0.05655616945203005,0.0,0.0,-0.015545447582985594,0.0,0.0,0.0,0.0,0.05815225503258278,0.0,0.0,-0.03802372186509587
0.17278654966457582,0.5904833008247221,0.06654037642534001,0.0,0.10240759369537707,0.1983854334023022,0.0,-0.055037395367531,0.0,0.0,0.057024268486291114,0.12745357614264763,0.0,-0.06479908176883022,0.0,0.0,0.0,0.0,0.0,-0.0473250585121594,0.0,0.0,0.0
-0.22427345202569152,-0.42969241116072787,0.0,0.0,-0.1509223206106894,-0.1614504383188119,0.0,-0.09055887522490247,0.0,0.0,-0.1289837906723963,0.0,0.0,-0.14728490537729616,-0.1146688630603453,0.0,0.0,0.0,-0.11334692214428821,-0.18756515343368652,0.0,0.0,0.0
-0.1618536164862006,-0.3388212917548695,0.0,0.0,0.0,-0.1208022911910283,0.06467804210359526,0.0,0.0,-0.01706610944560278,0.0,-0.051293442442211484,0.07392665587790026,0.031109089810030133,-0.04134632251976302,0.0,0.0,0.0,0.0,-0.04892276707354237,0.0,0.0,0.0
0.18143400259252976,0.6156741233275002,0.08182141986037053,0.0,0.11849256627240991,0.22225813844165504,0.0,0.0,0.0,0.0,0.05381768369590224,0.1370432774698438,0.0,0.04533342814534788,0.034238380021507364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03432858421680849
